Node ASSEMBLY.2,Node ASSEMBLY.2,Node ASSEMBLY.2,Node ASSEMBLY.2,Node ASSEMBLY.2,Node ASSEMBLY.2
RF,RF,RF,U,U,U
1,2,3,1,2,3
-0.0,0.0,-0.0,0.0,0.0,0.0
0.00188732030801475,0.0,0.689998745918274,0.0,0.0,2.0
-0.000110709792352282,0.0,1.32368767261505,0.0,0.0,4.0
-4.11902146879584e-05,0.0,1.89847099781036,0.0,0.0,6.0
0.000165438352269121,0.0,2.3770272731781,0.0,0.0,8.0
0.000127008315757848,0.0,2.55313229560852,0.0,0.0,10.0
7.6456657552626e-05,0.0,2.55649709701538,0.0,0.0,12.0
7.61188421165571e-05,0.0,2.4815468788147,0.0,0.0,14.0
5.18390625074971e-05,0.0,2.37249207496643,0.0,0.0,16.0
6.20831428932433e-07,0.0,2.24590373039246,0.0,0.0,18.0
-7.84113144618459e-05,0.0,1.97597718238831,0.0,0.0,20.0
