Node ASSEMBLY.2,Node ASSEMBLY.2,Node ASSEMBLY.2,Node ASSEMBLY.2,Node ASSEMBLY.2,Node ASSEMBLY.2
RF,RF,RF,U,U,U
1,2,3,1,2,3
-0.0,0.0,-0.0,0.0,0.0,0.0
0.00188732030801475,0.0,0.689998745918274,0.0,0.0,2.0
-0.000110366716398858,0.0,1.32320737838745,0.0,0.0,4.0
-3.97297917515971e-05,0.0,1.89593911170959,0.0,0.0,6.0
9.44650037126848e-06,0.0,2.36476922035217,0.0,0.0,8.0
0.000236506399232894,0.0,2.50339722633362,0.0,0.0,10.0
5.89371848036535e-05,0.0,2.49958038330078,0.0,0.0,12.0
-0.000678690907079726,0.0,2.42322325706482,0.0,0.0,14.0
2.22076851059683e-05,0.0,2.31308579444885,0.0,0.0,16.0
-6.12034546065843e-06,0.0,2.18359112739563,0.0,0.0,18.0
-0.00282513070851564,0.0,1.58457517623901,0.0,0.0,20.0
